A10	A12	A9	A13	A5	A1	A4	A7	A6	A11	A8	A14	A3	A15	A2	class
t	f	f	g	g	a	u	ff	ff	6.0	0.0	0.0	3.75	200.0	35.17	-
f	f	f	g	g	b	u	bb	i	0.0	1.0	100.0	3.75	2.0	48.08	-
t	t	f	g	g	a	u	v	q	1.0	0.125	0.0	7.625	160.0	15.83	-
f	t	f	s	g	a	u	v	i	0.0	0.335	144.0	0.415	0.0	22.5	-
f	t	t	g	g	b	u	v	i	0.0	0.5	100.0	11.5	68.0	21.5	-
t	t	f	g	g	a	u	v	q	1.0	0.415	200.0	0.83	11.0	23.58	-
f	f	f	g	p	a	y	ff	ff	0.0	0.0	0.0	5.0	0.0	21.08	-
t	t	f	g	g	b	u	h	c	1.0	2.29	416.0	3.25	21.0	25.67	-
f	f	f	g	g	a	u	v	aa	0.0	0.25	0.0	1.665	390.0	38.92	-
f	f	f	g	g	a	u	v	c	0.0	1.0	120.0	0.375	18.0	15.75	-
t	t	f	g	g	a	u	v	c	1.0	0.25	40.0	3.75	154.0	28.58	-
f	f	f	g	g	b	u	v	aa	0.0	0.085	0.0	9.0	0.0	22.25	-
f	f	f	g	g	b	u	v	c	0.0	0.165	216.0	3.5	0.0	29.83	-
f	t	f	g	g	a	u	v	w	0.0	0.875	160.0	1.5	0.0	23.5	-
f	t	f	g	p	b	y	v	cc	0.0	1.5	120.0	4.0	0.0	32.08	-
f	f	f	s	p	b	y	v	w	0.0	0.04	160.0	1.5	0.0	31.08	-
f	f	f	g	p	b	y	v	m	0.0	0.04	0.0	0.04	0.0	31.83	-
f	t	f	g	g	a	u	v	c	0.0	0.25	180.0	11.75	0.0	21.75	-
t	t	f	g	g	a	u	v	c	1.0	1.75	80.0	0.54	5.0	17.92	-
f	t	f	s	g	b	u	h	d	0.0	0.085	252.0	0.5	0.0	30.33	-
f	f	f	g	p	b	y	ff	ff	0.0	1.5	120.0	2.04	1.0	51.83	-
f	f	f	g	g	b	u	v	w	0.0	5.5	465.0	5.835	150.0	47.17	-
f	f	f	g	g	b	u	v	cc	0.0	0.5	0.0	12.835	2.0	25.83	-
f	t	f	g	g	a	u	v	aa	0.0	0.5	240.0	0.835	117.0	50.25	-
f	f	f	g	p	?	y	h	e	0.0	2.0	256.0	2.0	17.0	29.5	-
f	f	f	g	g	a	u	h	i	0.0	0.21	260.0	2.5	246.0	37.33	-
f	f	f	g	g	a	u	v	aa	0.0	0.665	240.0	1.04	237.0	41.58	-
t	t	f	g	g	a	u	h	q	12.0	0.085	129.0	10.665	3.0	30.58	-
t	f	f	g	g	b	u	v	m	1.0	0.04	100.0	7.25	1.0	19.42	-
f	f	f	g	g	a	u	ff	ff	0.0	0.0	0.0	10.21	50.0	17.92	-
f	f	f	g	g	a	u	v	c	0.0	0.0	0.0	1.25	0.0	20.08	-
f	f	f	g	g	b	u	v	k	0.0	0.29	280.0	0.29	364.0	19.5	-
f	f	f	g	p	b	y	h	d	0.0	3.0	176.0	1.0	537.0	27.83	-
f	t	f	g	g	b	u	v	i	0.0	0.335	140.0	3.29	2.0	17.08	-
f	f	f	g	p	b	y	v	d	0.0	0.585	240.0	0.75	3.0	36.42	-
f	t	f	s	g	b	u	v	m	0.0	3.5	400.0	3.29	0.0	40.58	-
f	f	f	g	p	b	y	h	e	0.0	1.25	260.0	10.085	0.0	21.08	-
t	t	f	g	g	a	u	v	c	2.0	2.0	200.0	0.75	394.0	22.67	-
t	t	f	g	p	a	y	ff	ff	1.0	2.0	200.0	13.5	1.0	25.25	-
f	f	f	g	g	b	u	v	aa	0.0	0.04	280.0	0.205	750.0	17.92	-
f	t	f	g	g	b	u	h	c	0.0	8.29	0.0	3.375	0.0	35.0	-
