h	c	b	a	f	g	e	d	class
10.0	0.165	0.465	0.59	0.273	0.275	0.5165	1.115	M
10.0	0.14	0.45	0.6	0.177	0.2425	0.37	0.837	F
12.0	0.14	0.445	0.605	0.2085	0.295	0.4295	0.982	M
10.0	0.16	0.49	0.61	0.228	0.341	0.465	1.112	M
14.0	0.18	0.515	0.625	0.252	0.3925	0.5255	1.3485	F
9.0	0.195	0.515	0.66	0.353	0.386	0.7345	1.5655	M
5.0	0.06	0.19	0.255	0.0185	0.025	0.04	0.086	I
5.0	0.065	0.195	0.27	0.0225	0.0285	0.0475	0.1065	I
5.0	0.08	0.215	0.28	0.022	0.033	0.072	0.132	I
6.0	0.07	0.215	0.285	0.0225	0.027	0.051	0.1075	I
8.0	0.085	0.255	0.32	0.033	0.057	0.072	0.1745	I
8.0	0.07	0.24	0.325	0.0305	0.054	0.0565	0.152	I
8.0	0.1	0.28	0.385	0.061	0.0725	0.1305	0.2755	I
7.0	0.1	0.295	0.395	0.062	0.082	0.14	0.293	I
7.0	0.16	0.305	0.4	0.0705	0.105	0.173	0.368	F
8.0	0.09	0.31	0.405	0.06	0.087	0.138	0.312	I
7.0	0.12	0.305	0.415	0.076	0.0805	0.165	0.336	I
6.0	0.115	0.315	0.42	0.065	0.087	0.1895	0.355	I
9.0	0.115	0.305	0.44	0.091	0.11	0.162	0.379	I
8.0	0.12	0.32	0.445	0.0825	0.12	0.152	0.378	I
8.0	0.13	0.35	0.45	0.1045	0.135	0.2075	0.4655	M
8.0	1.13	0.355	0.455	0.116	0.1335	0.332	0.594	F
8.0	0.12	0.345	0.46	0.1175	0.132	0.2435	0.4935	M
7.0	0.11	0.345	0.46	0.0885	0.116	0.235	0.4595	M
7.0	0.11	0.36	0.465	0.085	0.121	0.2665	0.4955	M
9.0	0.09	0.355	0.465	0.074	0.1275	0.2005	0.4325	I
7.0	0.14	0.38	0.475	0.1315	0.1955	0.3165	0.689	F
8.0	0.135	0.35	0.48	0.0995	0.158	0.2735	0.5465	I
8.0	0.135	0.39	0.485	0.1345	0.1635	0.25	0.617	M
8.0	0.11	0.37	0.49	0.1035	0.139	0.271	0.538	I
9.0	0.135	0.39	0.5	0.1575	0.2385	0.361	0.7815	M
8.0	0.14	0.38	0.5	0.143	0.1785	0.277	0.6355	F
7.0	0.13	0.385	0.505	0.149	0.1515	0.3135	0.6435	M
8.0	0.1	0.385	0.525	0.1005	0.1455	0.246	0.5115	M
8.0	0.125	0.42	0.535	0.1895	0.1795	0.355	0.738	M
8.0	0.13	0.42	0.535	0.1565	0.2035	0.3125	0.699	F
10.0	0.14	0.385	0.54	0.116	0.2365	0.3265	0.7655	F
9.0	0.13	0.42	0.54	0.1675	0.1845	0.368	0.7505	F
9.0	0.16	0.43	0.545	0.1855	0.231	0.3945	0.844	F
9.0	0.13	0.41	0.55	0.2115	0.213	0.4455	0.8705	M
11.0	0.115	0.42	0.55	0.137	0.209	0.2925	0.668	I
9.0	0.135	0.44	0.565	0.1735	0.238	0.393	0.83	F
8.0	0.12	0.45	0.58	0.1475	0.2605	0.418	0.8685	M
7.0	0.15	0.435	0.58	0.207	0.192	0.3485	0.839	F
11.0	0.15	0.485	0.585	0.2115	0.356	0.4145	1.079	F
9.0	0.15	0.465	0.595	0.1765	0.262	0.4335	0.919	M
10.0	0.19	0.47	0.6	0.2595	0.3375	0.492	1.1345	F
8.0	0.14	0.43	0.61	0.2	0.22	0.438	0.909	F
8.0	0.165	0.48	0.61	0.2675	0.372	0.5575	1.2435	M
9.0	0.16	0.49	0.62	0.244	0.2725	0.493	1.056	F
9.0	0.15	0.495	0.645	0.2225	0.339	0.603	1.2095	M
8.0	0.14	0.5	0.65	0.2355	0.32	0.6165	1.238	M
10.0	0.21	0.525	0.665	0.3395	0.4275	0.818	1.644	F
11.0	0.2	0.55	0.685	0.387	0.49	0.813	1.7725	M
12.0	0.195	0.54	0.69	0.3975	0.462	0.73	1.2525	F
10.0	0.185	0.57	0.705	0.3725	0.488	0.747	1.761	F
10.0	0.15	0.5	0.71	0.2815	0.28	0.6835	1.3165	F
11.0	0.22	0.585	0.72	0.448	0.479	0.9155	1.914	M
12.0	0.215	0.575	0.72	0.4825	0.602	0.8565	2.1	F
10.0	0.18	0.555	0.73	0.1965	0.4935	0.6555	1.6895	F
17.0	0.22	0.57	0.775	0.4755	0.6585	0.735	2.032	M
8.0	0.115	0.39	0.505	0.1555	0.175	0.3045	0.66	F
10.0	0.13	0.425	0.53	0.1355	0.245	0.2995	0.7455	M
11.0	0.115	0.385	0.505	0.1075	0.21	0.243	0.616	F
7.0	0.09	0.305	0.405	0.0575	0.095	0.114	0.2825	I
7.0	0.1	0.3	0.415	0.0685	0.095	0.1545	0.3355	M
11.0	0.145	0.39	0.5	0.132	0.22	0.273	0.651	M
7.0	0.08	0.33	0.425	0.0825	0.125	0.134	0.361	M
8.0	0.1	0.35	0.47	0.0885	0.175	0.1885	0.4775	M
10.0	0.115	0.31	0.4	0.0695	0.115	0.1475	0.3465	F
10.0	0.1	0.29	0.37	0.0505	0.085	0.1025	0.25	I
19.0	0.155	0.38	0.5	0.1365	0.215	0.2655	0.66	M
9.0	0.11	0.31	0.41	0.082	0.095	0.124	0.315	I
9.0	0.1	0.29	0.375	0.0565	0.085	0.1175	0.276	M
11.0	0.125	0.385	0.49	0.128	0.165	0.2175	0.5395	F
10.0	0.185	0.48	0.585	0.265	0.285	0.434	1.04	M
14.0	0.155	0.455	0.595	0.2105	0.365	0.416	1.041	M
15.0	0.18	0.55	0.675	0.3705	0.6	0.562	1.6885	F
27.0	0.225	0.535	0.665	0.391	0.885	0.7535	2.1835	M
13.0	0.17	0.49	0.62	0.2555	0.335	0.5185	1.2105	M
5.0	0.055	0.25	0.325	0.051	0.045	0.076	0.166	I
9.0	0.08	0.355	0.455	0.0995	0.125	0.2165	0.452	I
8.0	0.13	0.405	0.525	0.1975	0.175	0.3265	0.7185	M
7.0	0.09	0.29	0.385	0.0495	0.08	0.0855	0.232	I
4.0	0.035	0.095	0.13	0.0065	0.0035	0.005	0.0105	I
3.0	0.045	0.13	0.18	0.01	0.009	0.0125	0.0275	I
6.0	0.05	0.225	0.31	0.0385	0.045	0.0675	0.1445	I
7.0	0.08	0.29	0.375	0.0725	0.08	0.1405	0.282	F
8.0	0.12	0.38	0.48	0.1405	0.185	0.2705	0.608	F
9.0	0.125	0.37	0.455	0.1265	0.145	0.201	0.433	I
7.0	0.1	0.325	0.425	0.0725	0.11	0.1365	0.3295	M
9.0	0.11	0.36	0.475	0.0965	0.145	0.177	0.4555	I
11.0	0.12	0.35	0.435	0.1	0.13	0.192	0.4585	F
6.0	0.075	0.21	0.29	0.0675	0.035	0.113	0.275	F
7.0	0.095	0.295	0.385	0.094	0.09	0.147	0.335	M
8.0	0.115	0.375	0.47	0.0755	0.15	0.1685	0.4265	M
10.0	0.125	0.4	0.5	0.126	0.185	0.2395	0.5765	F
7.0	0.1	0.31	0.4	0.071	0.085	0.106	0.127	I
12.0	0.175	0.51	0.62	0.2265	0.4	0.4375	1.1505	M
12.0	0.15	0.47	0.595	0.2105	0.245	0.359	0.8915	M
9.0	0.14	0.455	0.585	0.185	0.295	0.462	0.97	M
6.0	0.08	0.24	0.32	0.0385	0.055	0.08	0.18	M
10.0	0.125	0.41	0.52	0.1625	0.215	0.2945	0.6985	F
9.0	0.11	0.35	0.44	0.0885	0.13	0.2	0.4585	M
8.0	0.115	0.33	0.44	0.113	0.12	0.143	0.4005	F
12.0	0.1	0.425	0.565	0.166	0.18	0.3055	0.7145	M
9.0	0.125	0.425	0.56	0.213	0.335	0.361	0.932	F
10.0	0.175	0.455	0.59	0.2455	0.31	0.391	0.966	F
16.0	0.18	0.465	0.57	0.277	0.295	0.405	0.9995	F
14.0	0.205	0.53	0.68	0.337	0.465	0.5825	1.496	M
10.0	0.125	0.36	0.45	0.105	0.16	0.222	0.5065	F
7.0	0.075	0.24	0.32	0.0355	0.05	0.076	0.1735	I
9.0	0.11	0.35	0.46	0.0865	0.125	0.1685	0.3945	I
10.0	0.105	0.37	0.47	0.1015	0.155	0.2025	0.4665	M
9.0	0.105	0.35	0.455	0.083	0.135	0.1575	0.401	M
9.0	0.115	0.325	0.415	0.0765	0.11	0.1405	0.3455	F
11.0	0.12	0.35	0.465	0.1625	0.185	0.2015	0.5205	M
12.0	0.135	0.375	0.46	0.0845	0.17	0.186	0.4935	M
8.0	0.09	0.31	0.415	0.0735	0.115	0.1305	0.3245	M
7.0	0.07	0.195	0.27	0.018	0.036	0.0465	0.106	M
10.0	0.11	0.355	0.445	0.1035	0.1505	0.1805	0.4415	M
18.0	0.19	0.585	0.745	0.437	0.5855	0.8435	1.966	F
8.0	0.115	0.3	0.4	0.0465	0.0935	0.1335	0.3025	F
5.0	0.075	0.2	0.28	0.0115	0.035	0.0545	0.1225	I
10.0	0.135	0.44	0.55	0.2095	0.265	0.368	0.879	M
16.0	0.165	0.46	0.58	0.1965	0.435	0.473	1.2275	M
12.0	0.165	0.5	0.61	0.185	0.49	0.4915	1.2715	M
17.0	0.175	0.495	0.62	0.3285	0.725	0.643	1.806	M
14.0	0.195	0.42	0.56	0.1795	0.285	0.3025	0.8085	M
12.0	0.2	0.51	0.64	0.3315	0.41	0.61	1.3905	F
19.0	0.2	0.55	0.69	0.472	0.57	0.732	1.8465	M
17.0	0.24	0.565	0.715	0.465	0.885	0.7245	2.1995	F
11.0	0.195	0.565	0.71	0.492	0.49	0.785	1.817	F
9.0	0.15	0.47	0.55	0.184	0.29	0.377	0.897	F
5.0	0.09	0.305	0.375	0.0565	0.095	0.1395	0.3245	M
9.0	0.16	0.45	0.61	0.311	0.3	0.414	1.136	F
6.0	0.085	0.28	0.38	0.061	0.085	0.115	0.2735	I
5.0	0.085	0.275	0.37	0.0535	0.07	0.104	0.2405	F
6.0	0.085	0.235	0.335	0.0345	0.045	0.066	0.1545	M
4.0	0.015	0.115	0.165	0.003	0.005	0.0055	0.0145	I
7.0	0.075	0.21	0.285	0.0285	0.04	0.055	0.1185	M
6.0	0.03	0.13	0.19	0.015	0.01	0.0155	0.0295	I
5.0	0.03	0.15	0.215	0.005	0.01	0.0115	0.0385	I
10.0	0.125	0.465	0.595	0.2	0.23	0.3245	0.799	M
13.0	0.17	0.5	0.645	0.274	0.355	0.4805	1.1845	F
12.0	0.185	0.45	0.575	0.197	0.35	0.342	0.925	M
20.0	0.17	0.45	0.57	0.187	0.405	0.414	1.098	F
14.0	0.235	0.45	0.58	0.206	0.395	0.3	1.071	F
15.0	0.2	0.48	0.595	0.2035	0.34	0.358	0.975	F
14.0	0.25	0.47	0.595	0.2475	0.445	0.462	1.283	F
21.0	0.165	0.42	0.625	0.165	0.445	0.358	1.0595	F
16.0	0.165	0.42	0.535	0.1985	0.26	0.3355	0.9195	M
13.0	0.16	0.43	0.55	0.1735	0.355	0.317	0.9295	M
6.0	0.155	0.4	0.495	0.1155	0.35	0.2345	0.8085	M
6.0	0.08	0.235	0.32	0.031	0.045	0.064	0.1485	I
9.0	0.12	0.34	0.445	0.1035	0.13	0.193	0.4475	M
9.0	0.125	0.4	0.52	0.1715	0.185	0.295	0.6865	F
14.0	0.135	0.385	0.495	0.1225	0.26	0.2	0.6335	M
12.0	0.135	0.37	0.47	0.1325	0.17	0.222	0.547	M
10.0	0.14	0.37	0.49	0.115	0.195	0.243	0.585	F
11.0	0.165	0.47	0.58	0.1985	0.315	0.3215	0.927	M
15.0	0.185	0.495	0.645	0.2785	0.455	0.5265	1.4935	M
14.0	0.165	0.485	0.575	0.264	0.3	0.419	1.0405	F
6.0	0.055	0.17	0.215	0.014	0.02	0.0205	0.0605	I
13.0	0.11	0.325	0.43	0.0935	0.12	0.1355	0.3675	I
5.0	0.08	0.215	0.26	0.0255	0.045	0.037	0.099	I
11.0	0.09	0.28	0.37	0.0545	0.07	0.0905	0.233	I
10.0	0.105	0.305	0.405	0.0705	0.125	0.1565	0.3625	I
6.0	0.08	0.19	0.27	0.0195	0.03	0.0265	0.081	I
21.0	0.2	0.55	0.68	0.4075	0.585	0.525	1.596	F
13.0	0.195	0.515	0.65	0.36	0.44	0.5195	1.4005	F
25.0	0.215	0.49	0.645	0.2285	0.51	0.4265	1.406	F
19.0	0.16	0.405	0.57	0.2185	0.295	0.3445	0.9245	M
18.0	0.19	0.48	0.615	0.2375	0.47	0.5305	1.36	M
7.0	0.105	0.345	0.42	0.096	0.13	0.175	0.43	M
6.0	0.08	0.22	0.275	0.0285	0.042	0.0565	0.1365	I
5.0	0.075	0.225	0.29	0.0235	0.04	0.0515	0.14	F
8.0	0.115	0.34	0.42	0.093	0.135	0.175	0.4215	M
16.0	0.215	0.525	0.625	0.2595	0.665	0.5115	1.5765	F
27.0	0.18	0.465	0.55	0.205	0.525	0.3245	1.2125	F
18.0	0.2	0.505	0.66	0.297	0.61	0.4865	1.6305	M
17.0	0.195	0.47	0.565	0.258	0.35	0.387	1.142	M
13.0	0.235	0.495	0.595	0.219	0.52	0.5065	1.366	F
17.0	0.23	0.51	0.63	0.2815	0.57	0.5635	1.539	M
8.0	0.12	0.325	0.43	0.0995	0.155	0.165	0.445	F
10.0	0.14	0.35	0.455	0.1325	0.175	0.1965	0.5725	F
7.0	0.08	0.26	0.33	0.0385	0.065	0.0765	0.19	I
13.0	0.13	0.415	0.515	0.196	0.25	0.276	0.764	F
14.0	0.15	0.39	0.495	0.189	0.27	0.3285	0.853	M
13.0	0.145	0.375	0.485	0.1155	0.19	0.2385	0.5885	F
8.0	0.145	0.46	0.535	0.2005	0.2	0.3395	0.7875	F
17.0	0.175	0.465	0.58	0.1865	0.385	0.401	1.035	M
13.0	0.195	0.525	0.625	0.2445	0.53	0.4505	1.352	F
14.0	0.18	0.455	0.555	0.195	0.39	0.296	0.958	F
9.0	0.145	0.425	0.55	0.15	0.265	0.297	0.797	F
13.0	0.155	0.475	0.59	0.174	0.28	0.356	0.857	M
7.0	0.11	0.28	0.355	0.0525	0.08	0.0815	0.2235	I
7.0	0.075	0.2	0.275	0.019	0.03	0.0305	0.086	I
12.0	0.175	0.39	0.505	0.15	0.215	0.267	0.692	F
7.0	0.095	0.28	0.37	0.051	0.075	0.0805	0.2225	M
13.0	0.165	0.43	0.555	0.1635	0.275	0.2735	0.7575	M
9.0	0.165	0.4	0.505	0.155	0.25	0.2675	0.729	F
9.0	0.18	0.445	0.56	0.2045	0.295	0.3575	0.903	F
17.0	0.17	0.475	0.595	0.229	0.35	0.419	1.0965	M
14.0	0.165	0.45	0.57	0.1845	0.295	0.3305	0.903	F
13.0	0.175	0.48	0.6	0.2735	0.415	0.4125	1.229	M
15.0	0.185	0.435	0.56	0.2435	0.33	0.422	1.106	F
17.0	0.19	0.465	0.585	0.2355	0.4	0.3905	1.171	M
8.0	0.11	0.335	0.46	0.0745	0.11	0.225	0.444	I
8.0	0.115	0.36	0.46	0.105	0.16	0.2105	0.4755	F
12.0	0.125	0.315	0.415	0.09	0.125	0.068	0.388	M
11.0	0.12	0.32	0.435	0.0915	0.125	0.152	0.3785	F
7.0	0.135	0.38	0.475	0.07	0.185	0.1735	0.486	F
10.0	0.13	0.36	0.465	0.1185	0.165	0.2105	0.5265	M
11.0	0.1	0.28	0.355	0.0455	0.085	0.0935	0.2275	I
9.0	0.14	0.375	0.46	0.1045	0.205	0.192	0.5105	M
10.0	0.11	0.325	0.38	0.074	0.105	0.12	0.3105	F
9.0	0.12	0.365	0.47	0.1495	0.15	0.2295	0.543	F
6.0	0.09	0.27	0.36	0.053	0.075	0.083	0.2225	M
12.0	0.165	0.455	0.585	0.2495	0.315	0.345	0.998	F
11.0	0.2	0.59	0.655	0.3765	0.415	0.654	1.5455	M
13.0	0.175	0.485	0.6	0.2815	0.38	0.4995	1.2675	M
14.0	0.17	0.46	0.57	0.2205	0.38	0.4125	1.1	F
11.0	0.2	0.5	0.645	0.305	0.36	0.639	1.4285	F
14.0	0.18	0.495	0.65	0.339	0.53	0.8005	1.793	M
12.0	0.145	0.395	0.51	0.1385	0.24	0.216	0.6185	M
8.0	0.135	0.38	0.52	0.1565	0.175	0.2505	0.5825	M
13.0	0.165	0.415	0.495	0.134	0.285	0.264	0.7485	M
8.0	0.115	0.335	0.43	0.0935	0.135	0.166	0.406	M
13.0	0.16	0.465	0.59	0.2525	0.295	0.506	1.1005	F
10.0	0.175	0.46	0.55	0.1825	0.32	0.3155	0.869	M
11.0	0.16	0.43	0.585	0.176	0.27	0.3625	0.955	M
17.0	0.16	0.455	0.58	0.196	0.3	0.312	0.9215	F
13.0	0.15	0.51	0.62	0.2875	0.32	0.581	1.456	F
14.0	0.16	0.45	0.59	0.2185	0.345	0.2745	0.893	I
13.0	0.215	0.575	0.72	0.405	0.62	0.8955	2.226	F
14.0	0.175	0.51	0.635	0.261	0.36	0.5735	1.2125	F
15.0	0.175	0.48	0.61	0.216	0.42	0.391	1.0675	F
13.0	0.175	0.445	0.545	0.189	0.295	0.3465	0.8525	F
12.0	0.16	0.45	0.57	0.2175	0.255	0.3725	0.8615	M
18.0	0.18	0.475	0.6	0.2675	0.32	0.511	1.162	F
14.0	0.17	0.41	0.52	0.219	0.25	0.3735	0.8705	F
15.0	0.21	0.51	0.635	0.2835	0.58	0.6535	1.598	M
13.0	0.15	0.52	0.67	0.348	0.37	0.519	1.406	F
15.0	0.2	0.57	0.695	0.4255	0.685	0.751	2.033	M
20.0	0.185	0.525	0.655	0.2215	0.445	0.487	1.259	M
14.0	0.23	0.48	0.62	0.245	0.355	0.403	1.0935	F
19.0	0.18	0.475	0.6	0.2475	0.425	0.4345	1.1805	F
9.0	0.13	0.405	0.51	0.158	0.17	0.3725	0.7175	M
10.0	0.135	0.405	0.525	0.216	0.195	0.3305	0.7575	M
9.0	0.13	0.375	0.44	0.0965	0.155	0.226	0.487	M
8.0	0.14	0.415	0.485	0.134	0.185	0.25	0.5705	I
10.0	0.13	0.385	0.495	0.179	0.175	0.3125	0.6905	F
7.0	0.12	0.345	0.435	0.112	0.125	0.221	0.4475	I
9.0	0.105	0.315	0.405	0.0785	0.1	0.1605	0.347	I
9.0	0.1	0.33	0.42	0.089	0.1	0.1635	0.352	I
9.0	0.15	0.395	0.5	0.173	0.195	0.3235	0.7145	F
7.0	0.105	0.305	0.385	0.0745	0.1	0.1365	0.3315	F
6.0	0.09	0.265	0.33	0.036	0.06	0.068	0.18	I
10.0	0.155	0.475	0.58	0.23	0.285	0.4305	0.974	F
6.0	0.1	0.27	0.325	0.0435	0.065	0.08	0.185	I
10.0	0.12	0.375	0.475	0.1205	0.185	0.2525	0.563	M
9.0	0.09	0.3	0.38	0.075	0.095	0.1545	0.3215	F
6.0	0.09	0.26	0.34	0.0525	0.055	0.076	0.179	I
12.0	0.12	0.425	0.525	0.1465	0.22	0.3335	0.702	M
10.0	0.145	0.415	0.52	0.1725	0.285	0.3325	0.8045	F
13.0	0.135	0.45	0.535	0.181	0.25	0.322	0.8075	F
8.0	0.12	0.36	0.475	0.12	0.17	0.2825	0.578	M
7.0	0.1	0.325	0.415	0.08	0.125	0.167	0.385	I
8.0	0.125	0.385	0.495	0.1235	0.165	0.2755	0.585	I
10.0	0.13	0.405	0.48	0.1445	0.21	0.277	0.6375	F
10.0	0.15	0.425	0.52	0.2015	0.23	0.385	0.813	F
9.0	0.13	0.375	0.46	0.119	0.195	0.2505	0.5735	M
11.0	0.12	0.455	0.58	0.257	0.265	0.399	0.94	F
11.0	0.135	0.49	0.59	0.2245	0.285	0.422	1.008	M
23.0	0.135	0.415	0.55	0.179	0.26	0.302	0.775	F
12.0	0.165	0.5	0.65	0.218	0.365	0.485	1.1445	F
16.0	0.135	0.375	0.465	0.129	0.23	0.2225	0.6	F
11.0	0.13	0.355	0.455	0.1275	0.175	0.2	0.515	M
13.0	0.13	0.375	0.47	0.164	0.195	0.2145	0.5795	M
13.0	0.11	0.35	0.435	0.1005	0.125	0.143	0.384	F
7.0	0.11	0.265	0.35	0.063	0.085	0.1365	0.2965	M
8.0	0.07	0.24	0.315	0.0315	0.04	0.0545	0.137	I
16.0	0.145	0.47	0.595	0.1505	0.34	0.4035	0.991	M
14.0	0.135	0.475	0.58	0.165	0.275	0.391	0.925	F
17.0	0.15	0.435	0.575	0.1625	0.27	0.293	0.805	M
13.0	0.155	0.435	0.535	0.177	0.25	0.3415	0.8915	M
13.0	0.14	0.42	0.515	0.154	0.29	0.2505	0.769	M
12.0	0.135	0.385	0.505	0.1175	0.2	0.251	0.6185	F
15.0	0.145	0.395	0.505	0.153	0.205	0.2695	0.6515	F
10.0	0.1	0.31	0.4	0.0635	0.095	0.1145	0.2875	I
14.0	0.135	0.395	0.49	0.0925	0.215	0.213	0.5545	M
12.0	0.135	0.435	0.53	0.1315	0.22	0.3275	0.7365	M
8.0	0.105	0.325	0.395	0.0735	0.095	0.111	0.306	I
17.0	0.19	0.535	0.665	0.2815	0.475	0.5775	1.496	F
10.0	0.105	0.305	0.415	0.082	0.1	0.12	0.3605	F
11.0	0.115	0.345	0.43	0.055	0.12	0.0925	0.3045	M
13.0	0.135	0.395	0.475	0.1645	0.2	0.2465	0.592	M
15.0	0.145	0.425	0.525	0.209	0.24	0.3345	0.7995	F
15.0	0.145	0.39	0.48	0.121	0.255	0.2315	0.5825	I
9.0	0.115	0.345	0.42	0.0795	0.115	0.1515	0.3435	I
15.0	0.155	0.46	0.59	0.1485	0.335	0.327	0.906	M
9.0	0.135	0.42	0.515	0.127	0.215	0.2815	0.6295	F
13.0	0.22	0.55	0.695	0.3835	0.445	0.566	1.5515	M
23.0	0.195	0.63	0.8	0.59	0.62	0.933	2.526	F
23.0	0.15	0.49	0.61	0.2025	0.36	0.425	1.103	M
18.0	0.175	0.48	0.565	0.215	0.275	0.3885	0.957	F
11.0	0.165	0.455	0.56	0.1695	0.245	0.4015	0.86	M
17.0	0.195	0.485	0.655	0.358	0.485	0.6275	1.62	M
17.0	0.2	0.52	0.64	0.304	0.455	0.566	1.407	M
11.0	0.17	0.47	0.59	0.1905	0.25	0.355	0.9	F
7.0	0.09	0.24	0.31	0.0315	0.045	0.0605	0.1455	I
6.0	0.07	0.185	0.255	0.018	0.025	0.028	0.075	I
6.0	0.055	0.125	0.17	0.0055	0.008	0.009	0.0235	I
21.0	0.17	0.55	0.67	0.2455	0.4	0.472	1.247	M
17.0	0.195	0.565	0.71	0.3365	0.565	0.638	1.7265	F
13.0	0.125	0.43	0.56	0.1715	0.263	0.313	0.8025	F
11.0	0.13	0.4	0.505	0.189	0.2175	0.3035	0.764	M
16.0	0.165	0.43	0.525	0.1945	0.2515	0.376	0.8645	M
9.0	0.105	0.36	0.45	0.0935	0.149	0.2035	0.4715	F
12.0	0.17	0.435	0.515	0.111	0.216	0.2765	0.631	F
19.0	0.16	0.475	0.59	0.184	0.27	0.3815	0.9455	M
18.0	0.19	0.53	0.7	0.233	0.42	0.548	1.3185	M
17.0	0.175	0.56	0.72	0.3415	0.525	0.637	1.7265	F
11.0	0.15	0.495	0.635	0.242	0.31	0.4825	1.081	M
13.0	0.135	0.44	0.555	0.2105	0.28	0.3805	0.9025	M
13.0	0.15	0.47	0.575	0.204	0.4	0.4515	1.1415	M
17.0	0.125	0.455	0.585	0.212	0.25	0.391	1.027	M
20.0	0.21	0.485	0.61	0.2205	0.515	0.535	1.3445	F
13.0	0.2	0.525	0.645	0.2565	0.505	0.601	1.449	F
11.0	0.175	0.44	0.545	0.1875	0.265	0.2985	0.7745	F
12.0	0.155	0.45	0.55	0.159	0.25	0.343	0.7895	M
18.0	0.205	0.525	0.66	0.291	0.41	0.5005	1.3665	F
18.0	0.195	0.475	0.57	0.1905	0.305	0.4635	1.0295	M
15.0	0.2	0.47	0.6	0.2035	0.29	0.392	1.031	F
12.0	0.165	0.505	0.63	0.216	0.315	0.4595	1.065	F
19.0	0.23	0.57	0.695	0.435	0.5	0.8665	1.885	M
15.0	0.16	0.545	0.65	0.296	0.48	0.487	1.2425	M
16.0	0.225	0.595	0.72	0.423	0.66	0.8045	1.969	F
12.0	0.17	0.44	0.56	0.2175	0.3	0.3545	0.9445	I
8.0	0.115	0.325	0.42	0.064	0.105	0.1625	0.354	I
3.0	0.05	0.125	0.18	0.0055	0.01	0.0085	0.023	M
12.0	0.11	0.325	0.405	0.0725	0.11	0.145	0.3575	F
12.0	0.15	0.405	0.5	0.126	0.185	0.253	0.5965	F
12.0	0.11	0.335	0.435	0.0675	0.135	0.1555	0.383	I
10.0	0.09	0.275	0.34	0.043	0.07	0.0725	0.2065	M
8.0	0.11	0.34	0.43	0.0955	0.109	0.154	0.382	F
12.0	0.155	0.41	0.535	0.1415	0.1815	0.2745	0.6315	I
12.0	0.115	0.325	0.415	0.051	0.106	0.1405	0.3285	I
10.0	0.09	0.265	0.36	0.037	0.0735	0.096	0.2165	F
5.0	0.04	0.135	0.175	0.0075	0.01	0.011	0.0305	M
5.0	0.025	0.115	0.155	0.005	0.0075	0.009	0.024	M
11.0	0.15	0.43	0.525	0.161	0.215	0.3225	0.7365	I
16.0	0.135	0.39	0.525	0.131	0.21	0.2265	0.6005	F
11.0	0.105	0.345	0.44	0.083	0.132	0.165	0.4285	F
12.0	0.115	0.345	0.45	0.117	0.14	0.1905	0.496	F
14.0	0.14	0.365	0.485	0.1445	0.177	0.2595	0.6195	F
11.0	0.135	0.35	0.47	0.1465	0.1525	0.2315	0.567	I
10.0	0.14	0.375	0.515	0.141	0.2215	0.2495	0.6505	I
11.0	0.125	0.34	0.42	0.1125	0.144	0.165	0.4495	M
16.0	0.125	0.35	0.455	0.102	0.1335	0.1585	0.4485	F
10.0	0.09	0.29	0.37	0.045	0.069	0.11	0.241	M
10.0	0.09	0.25	0.33	0.041	0.0605	0.085	0.197	M
7.0	0.09	0.22	0.3	0.0335	0.043	0.057	0.1425	I
14.0	0.16	0.46	0.625	0.273	0.38	0.55	1.2395	I
14.0	0.17	0.475	0.61	0.241	0.32	0.4435	1.0385	I
14.0	0.155	0.465	0.625	0.1845	0.35	0.404	0.972	I
17.0	0.19	0.505	0.635	0.252	0.435	0.5805	1.3315	I
14.0	0.155	0.385	0.5	0.161	0.19	0.3795	0.762	I
17.0	0.17	0.43	0.53	0.152	0.235	0.35	0.775	F
13.0	0.1	0.33	0.445	0.0755	0.17	0.163	0.437	I
12.0	0.155	0.415	0.585	0.146	0.195	0.3	0.6985	F
16.0	0.165	0.355	0.44	0.105	0.14	0.159	0.435	I
10.0	0.08	0.225	0.29	0.026	0.045	0.0535	0.1295	M
15.0	0.17	0.455	0.555	0.1905	0.3	0.309	0.8435	I
15.0	0.145	0.515	0.655	0.283	0.315	0.5265	1.25	I
10.0	0.185	0.46	0.58	0.2	0.32	0.3515	1.017	F
12.0	0.175	0.43	0.625	0.297	0.395	0.572	1.411	I
15.0	0.17	0.485	0.62	0.3045	0.33	0.4805	1.208	I
8.0	0.15	0.5	0.64	0.2705	0.36	0.371	1.0705	F
10.0	0.115	0.375	0.505	0.12	0.167	0.2635	0.5895	F
9.0	0.12	0.395	0.5	0.1085	0.1785	0.2165	0.537	I
7.0	0.095	0.245	0.31	0.034	0.048	0.0525	0.15	M
12.0	0.145	0.38	0.505	0.19	0.17	0.2935	0.651	F
9.0	0.11	0.305	0.42	0.0785	0.0955	0.094	0.28	I
10.0	0.105	0.315	0.4	0.037	0.113	0.1135	0.287	M
18.0	0.125	0.315	0.425	0.0565	0.13	0.1135	0.3525	M
11.0	0.06	0.235	0.31	0.033	0.04	0.0415	0.12	M
18.0	0.13	0.35	0.465	0.103	0.155	0.1945	0.494	F
10.0	0.12	0.36	0.465	0.1125	0.16	0.192	0.4765	F
13.0	0.085	0.255	0.35	0.0465	0.06	0.1	0.2145	M
